产品分类,产品,产品明细,产品描述,产品特点
感知类产品,温度传感器,水温传感器,水温传感器用于监测汽车发动机冷却系统或新能源车电池包冷却水管路内冷却液或冷却水的温度，冷却系统控制模块接收信号并使用控制回路控制调控，提升系统效率。,"1.多种安装方式可选（快插、集成管路、螺纹螺栓等）
2.更快的响应时间，最快可实现＜3s；
3.R-T曲线可定制化;
4.IP67及IP69K的防护性能；"
,,空气温度传感器,空气温度传感器主要应用于检测车辆外部、乘员舱、空调系统风管等的环境温度，信号用于配合车辆空调系统进行温度调控，提高舒适性。,"1.带风扇的主动式吸风方案可选；
2.R-T曲线可定制化；
3.密封接插件可选；"
,,冷媒传感器,冷媒温度传感器测量HVAC管路高压侧和低压侧的制冷剂介质温度，车辆控制模块通过信号来最大限度地提高暖风、通风与空调系统的性能。,"1.更小的外形尺寸；
2.更快的响应时间，最快可实现＜3s；
3.R-T曲线可定制化;
4.IP67及IP69K的防护性能；"
,温湿度传感器,温湿度传感器, 温湿度传感器安装在前风挡玻璃后视镜支架之间，用于检测车内环境温度、湿度和前档玻璃内表面温度，进行前档玻璃的防雾检测功能。,"1、可检测前挡风玻璃的温度、湿度及露点温度等信号；
2、支持多种信号传输方式，如LIN/PWM/IIC等；
3、便携式的安装结构，便携式安装和更换；
4、更小的外形尺寸；
5、高精度的温度（±1℃）输出和湿度（±3%RH）输出；"
,PM2.5传感器,单通道PM2.5传感器,主要用于检测不同颗粒物浓度（PM2.5/PM10），可以将检测的颗粒浓度通过总线传送给空调系统，由空调系统开启对应的净化设备，从而实现空气净化功能。可通过多参数融合算法，全面评估座舱空气健康状态，为智能座舱提供数据支撑，实现自动通风、净化与空调调节联动,"1、采用激光光源与高灵敏度光电探测器，精准识别0.3μm以上颗粒物，符合车规级测量标准。
2、快速响应，采样响应时间 ≤ 10秒，实时反馈车内空气质量变化
3、符合车规级设计，工作温度范围 -20℃ ~ +85℃，抗振动、耐高低温，满足汽车电子可靠性要求。
4、低功耗运行，典型功耗 < 150mW，适配12V车载电源系统。
5、支持整车LIN2.X、CAN、UART（TTL电平）或PWM输出，便于与智能空调或车机联动。
6、内置气流导向设计，延长使用寿命，减少维护需求。"
,,多功能PM2.5传感器,"主要用于检测不同颗粒物浓度，如PM2.5/PM10的检测，可以将检测的颗粒浓度通过总线传送给空调系统，由空调系统开启对应的净化设备，从而实现空气净化功能；同时可扩展CO2气体检测功能、空气质量指数检测（AQS，基于TVOC/NO2/NH3/CO等）、环境温度与相对湿度检测于一体的多合一的汽车清风系统气体传感器
。可通过多参数融合算法，全面评估座舱空气健康状态，为智能座舱提供数据支撑，实现自动通风、净化与空调调节联动","1、五合一传感集成：
　- PM2.5（车内外双通道+激光散射）
　- CO₂（NDIR红外原理，量程400–10000ppm）
　- AQS（金属氧化物半导体，感知TVOC/NO2/NH3/CO/硫化物）
　- 温度（±0.3℃精度）
　- 湿度（±2%RH精度）
2、可内置多参数融合算法，输出综合AQS等级（优/良/差），通过智能空气质量评估，提示用户是否需要开启净化或外循环。
3、符合AEC-Q100标准，EMC/ESD防护强，适应复杂车载电磁环境
4、低功耗 & 小体积，整机功耗 < 300mW。
5、支持整车LIN2.X、CAN、UART（TTL电平）或PWM输出，便于与智能空调或车机联动
6、统一UDS诊断服务，并支持OTA升级"
,雨量传感器,3合1雨量传感器,雨量传感器用于汽车自动雨刷、灯光、自动空调、除雾功能;同时也为HUD提供光线亮度、雨天自动关窗功能。使驾驶员免除手动操作雨刷、灯光、空调调节、除雾等麻烦，有效地提高了各种环境行车的安全性和驾驶舒适度,"1、支持LIN2.X及SAEJ260协议，与整车通过LIN进行信号交互；
2、具备自动雨刮、自动阳光、自动大灯控制等功能可选；
3、雨量功能的感应面积≥120mm2
4、宽角度的光学检测范围，以及高精度的信号输出
5、支持雨天关窗、冬季模式、防误刮检查、功能安全策略等功能
6、定制Bootloader，支持OTA升级"
,,5合1雨量传感器,,"1、支持LIN2.X及SAEJ260协议，与整车通过LIN进行信号交互；
2、具备自动雨刮、自动阳光、自动大灯控制，防雾调节、HUD控制等功能可选；
3、雨量功能的感应面积≥120mm2
4、宽角度的光学检测范围，以及高精度的信号输出
5、支持雨天关窗、冬季模式、防误刮检查、功能安全策略等功能
6、定制Bootloader，支持OTA升级"
,阳光光线传感器,阳光光线传感器,阳光光线传感器主要用于检测入射到驾驶舱的阳光强度以及车外环境光的亮度，并将信号发送给空调控制器进行温度补偿，控制空调出风口风量大小，以及将信号给整车进行自动大灯的控制,"1、激光可调节，产品输出精度和一致性高；
2、宽角度的检测范围10°~170°；
3、过滤光谱，避免杂光干扰；
4、集成温度补偿功能，降低温漂；
5、便携式安装和更换；
6、模块化设计，变型开发快，功能可扩展；"
,座椅传感器,座椅位置传感器,        一种安装在座椅导轨上的位置传感器，能够通过霍尔开关芯片检测座椅在移动时的磁感应强度变化，来反馈座椅的位置，最后反馈到安全气囊控制单元，并通过控制单元的反馈，来实现不同的档位的爆破程度。,"1.高灵敏度磁场检测，误差率低至±0.5%，提升设备定位精度；
2.提供电流信号输出，减少模拟信号处理的复杂性；
3.高度可调的设计实现了Z向的安装灵活性，使其适用于不同的车型；"
,摄像头,1.3M车载摄像头,DQQ1000 是一款专为车载场景打造的高性能超广角摄像头模组，基于车规级 CMOS 图像传感器与 串行器设计，可在 -40℃~+85℃ 极端环境下稳定输出 1280×960@30fps 高清图像，IP67 防护等级与 195° 超广角视野，为行车安全提供可靠保障。,"LOFIC CIS 高动态成像：最高 130dB 动态范围，明暗剧烈变化场景下输出无损画质与真实色彩
F1.6 大光圈暗光增强：相比常规 F2.0 镜头进光量提升约 60%，显著优化夜间与低光环境成像效果
LED 闪烁抑制（LFM）：有效消除 LED 光源频闪干扰，保证图像清晰稳定
195° 超广角无盲区：水平视场角达 195°，大幅减少行车视野盲区，提升主动安全
车规级高可靠设计：IP67 防护（镜头 IP69K）、-40℃~+85℃宽温工作，适配严苛车载环境
高速稳定传输：GMSL 串行输出，支持 1280×960@30fps，满足车载系统实时性要求"
传输类产品,线束总成,FAKRA线束,"FAKRA线束用于车载射频信号的传输，；例如AM/FM, GPS,车载电话，车载WIFI，360°摄像头，远程遥控等",采用射频信号传输技术，工作频率高，传输距离远
,,HSD线束,主要用于车内中控显示屏图像传输，以及高清摄像头图像传输,采用差分信号传输技术，传输速率大，抗干扰性能好
,,低压线束,低压线束主要用于车内各个用电器的电路传输，例如车灯，ECU控制器，开关，发动机等,主要是电信号传输，是汽车电气系统的毛细血管
,微动开关,,提供各类微动开关,"体积小
灵敏度高
可定制线束一体"
,连接线,,提供各类低压、电源连接线,尺寸、功能、材料可定制
,压接连接器,冷压端子,冷压端子是一种用于实现电气连接的配件产品，属于电子连接器领域，广泛应用于电力、电子和通讯系统中，通过机械压接方式连接导线而无需焊接或螺丝固定。其种类包括圆形预绝缘端子、叉形预绝缘端子、PCB板端子、五金连续端子等二十余种类型，主体材料多为铜或铝以保障导电性和耐腐蚀性,"‌1、加工便捷
2、连接牢固可靠
3、电气性能稳定‌
4、环境适应性强‌
5、安装高效便捷
6、经济性好‌："
,板间连接器,,用于控制器、传感器等的板间连接,"1、面相电子传感器、控制器应用
2、可定制开模
3、提供实验验证"
,连接器端子,连接器端子,连接器又称护套、接插件、塑壳，是电子工程领域用于电路导通的核心组件，由接触件、外壳、绝缘体及附件四大结构组成 。其通过阴阳接触件插合传递电流，实现实现电气连接、传输电能和信号,连接器通过其独特的结构设计，如插头与插座的配合，使得电子设备在组装、维修或升级时能够方便地连接或断开，从而大大提高了设备的灵活性和可维护性。产品符合QC/T1067、USCAR-2等标准要求，
,,接线端子,,
,连接器塑壳,密封连接器,,
,,非密封连接器,,
,,配电盒,,
控制类产品,电动汽车通讯控制器(EVCC),"EVCC1代
",      EVCC（电动汽车通讯控制器）是安装于电动汽车中的通信控制器，用于CAN通讯与PLC（电力载波通讯）的协议转换，实现车辆与充电设备端SECC之间加密通信或车辆与SECC之间的数据传输。,"1、支持国标及欧标电动车连接欧标充电设备充电，兼容交、直流充电
2、支持ISO15118、DIN70121和GB/T27930标准
3、通过标准CAN接口与BMS通讯
4、低功耗休眠功能，可通过CAN、PP、CP唤醒，可通过A+/A-、CC2唤醒其他设备
5、统一诊断服务（UDS），符合ISO14229及ISO15765标准
6、定制Bootloader，支持OTA升级，充电策略制定以及智能充电"
,,EVCC2代,      EVCC（电动汽车通讯控制器）是安装于电动汽车中的通信控制器，用于CAN通讯与PLC（电力载波通讯）的协议转换，实现车辆与充电设备端SECC之间加密通信或车辆与SECC之间的数据传输。,"1、支持国标及欧标电动车连接欧标充电设备充电，兼容交、直流充电
2、支持ISO15118-20、DIN70121和GB/T27930标准
3、通过标准CAN接口与BMS通讯
4、低功耗休眠功能，可通过CAN、PP、CP唤醒，可通过A+/A-、CC2唤醒其他设备
5、统一诊断服务（UDS），符合ISO14229及ISO15765标准
6、定制Bootloader，支持OTA升级，充电策略制定以及智能充电，预留交流V2X功能"
,天窗控制器,天窗控制器,是整个天窗系统的控制中心，负责整个系统控制命令的判定和控制策略的执行。通过控制电机的正反转，从而实现天窗或者卷帘的打开于关闭（一拖二，可同时实现玻璃和卷帘的控制），具有防夹功能，基于hall的速度检测原理，可保证位置控制的精确性和防夹的可靠性，同时支持语音功能、遥控、APP控制等功能,"1、具有防夹保护功能（符合国标GB11552-2009/美标FMVSS118/
欧标2000/4 EG防夹标准），基于hall的速度检测原理，可保证位置控制的精确性和防夹的可靠性；
2、支持位置自动校准、电机热保护等功能；
3、具备滑道自适应功能，降低机械温度导致的误防夹问题；
4、具备堵转保护、诊断保护、过流保护等功能；
5、支持CAN/LIN接口，与整车进行信号交互，支持语音、遥控、蓝牙控制等功能；
6、支持PWM调速功能，可配置同时控制多个电机（如一拖一/一拖二）
7、定制Bootloader，支持OTA升级
8、支持功能安全"
执行类产品,洗涤系统,风窗清洗,汽车风窗洗涤是保障驾驶视野清晰、提升行车安全的核心功能系统，专为全天候、全路况玻璃清洁设计，与雨刮系统协同工作，快速清除灰尘、虫胶、油膜、雨雪污渍，保持前挡风玻璃通透无遮挡,"1.稳定喷射，快速覆盖目标玻璃区域，配合雨刮高效去除灰尘、虫胶、泥污
2.耐高低温、抗老化，-40℃～90℃环境稳定运行，安全可靠
3.喷嘴角度精准，扇形 / 柱状喷射均匀，覆盖合理，减少干刮，保护雨刮胶条与玻璃"
,,大灯清洗,大灯清洗系统是保障夜间及恶劣天气行车照明清晰度的主动安全部件，专为快速清除大灯灯罩表面的灰尘、泥污、虫尸、雨雪污渍而设计,"1.隐藏式设计
2.耐高低温，-40℃～90℃环境稳定运行，安全可靠
3.耐腐蚀、密封好、寿命长"
,,激光雷达清洗,激光雷达清洗系统是智能驾驶、高阶辅助驾驶（ADAS）的感知层核心清洁保障装置，专为维持激光雷达镜面高精度、无遮挡工作状态设计,"1.精准喷射，定向微喷设计，出水角度与激光雷达探测面高度匹配，少量液体即可快速清除灰尘、泥污
2.极紧凑隐藏式结构，可嵌入式集成安装，不破坏车身外观与气动布局，工作时微伸出，清洁后自动复位，不影响感知视野
3.耐高低温，-40℃～90℃环境稳定运行，安全可靠"
,,摄像头清洗,车载摄像头清洗系统是智能驾驶、全景影像、行车辅助的视觉感知清洁核心部件，专为保障前视、环视、后视等车载摄像头全天候清晰成像设计,"1.精准喷射，定向微喷设计，出水角度与摄像头镜面高度匹配，少量液体即可快速清除灰尘、泥污
2.体积小巧
3.耐高低温，-40℃～90℃环境稳定运行，安全可靠"
,精密注塑,"嵌件注塑
接插件 3711573 ",接插件用于实现电路快速连接、断开，并保证电信号 / 电源稳定可靠传输。,1、实现电路快速连接、断开，并保证电信号 / 电源稳定可靠传输。
,,"嵌件注塑
接插件 38303464",连接器用于实现电路快速连接、断开，并保证电信号 / 电源稳定可靠传输。,"1、实现电路快速连接、断开，并保证电信号 / 电源稳定可靠传输。

"
,,"注塑
线束支架 3711603
",线束支架用于把散乱的线束规整、固定在车身 / 底盘指定位置，防止行驶中晃动、拉扯、窜动，避免接头松脱。,"
1、固定与限位功能
2、线束防磨损功能
3、规划线束走向，实现布线标准化
4、采用螺栓固定"
,,"嵌件注塑
前部/中部媒体支架 3711586",安装于电池包内部，用于固定和保护高压动力线束及低压信号线束的结构件,"1、确保高压线束与其他部件保持安全距离，防止磨损导致的漏电或短路
2、在车辆振动工况下，为线束提供缓冲和固定，防止连接器松动"
,,"注塑
锁盖 3711589 ","汽车后背门锁盖是一个集成了多种功能的小型精密部件,安装于后背门内饰板上的可拆卸式盖板，用于遮蔽背门锁安装机构，并提供紧急手动开启通道","1、覆盖锁体安装点，保证内饰外观整洁
2、不借助工具即可徒手拆卸，便于执行机械应急解锁
3、全卡接结构，利用塑料卡勾与背门饰板固定，安装牢固且无振动异响"
,,电子控制器外壳,可定制、开模制作各类电子控制器、执行器外壳，满足各类定制化要求,"1、支持定制，提供设计、仿真、开模。
2、防护等级可达IP40至IP69"
,风门执行器,空调箱风门执行器,空调箱风门执行器用于移动和控制汽车空调和管道部件中的阀门开度，进而控制冷空气和热空气的混合比例，调节车内温度和改变空气流向，以确保车内不同区域的舒适度。,"1、LIN自动寻址；
2、LIN通讯和诊断功能；
3、SVPWM无刷电机控制；
4、多种自我诊断和保护功能；"